Id,Cn,Tc,En
1025,"字伯和，汉灵帝刘宏次子，汉少帝刘辩异母弟，母灵怀皇后王荣，东汉最后一任皇帝。刘协因被董太后抚养，故称“董侯”，初封渤海王，后改封陈留王。
189年，董卓废汉少帝刘辩，立刘协为皇帝。董卓被王允和吕布诛杀后，董卓部将李傕等攻入长安，再次挟持了他。刘协后来逃出长安。196年，曹操控制了刘协，并迁都许昌，挟天子以令诸侯。220年，曹操病死，随后被迫禅让于曹丕。234年，刘协寿终正寝，享年54岁，葬于禅陵，谥号孝献皇帝。","字伯和，漢靈帝劉宏次子，漢少帝劉辯異母弟，母靈懷皇後王榮，東漢最後一任皇帝。劉協因被董太後撫養，故稱“董侯”，初封渤海王，後改封陳留王。
189年，董卓廢漢少帝劉辯，立劉協爲皇帝。董卓被王允和呂布誅殺後，董卓部將李傕等攻入長安，再次挾持了他。劉協後來逃出長安。196年，曹操控制了劉協，並遷都許昌，挾天子以令諸侯。220年，曹操病死，隨後被迫禅讓于曹丕。234年，劉協壽終正寢，享年54歲，葬于禅陵，谥號孝獻皇帝。",
1026,字元化。沛国谯县人，东汉末年著名医学家。擅长外科，精于手术，被后人称为“外科圣手”。他曾用“麻沸散”使病人麻醉后施行剖腹手术，开创了世界麻醉药物的先例。又仿虎、鹿、熊、猿、鸟等禽兽的动态创作名为“五禽戏”的体操，教导人们强身健体。后因不服曹操征召被杀，所著医书已佚。,"字元化。沛國谯縣人，東漢末年著名醫學家。擅長外科，精于手術，被後人稱爲“外科聖手”。他曾用“麻沸散”使病人麻醉後施行剖腹手術，開創了世界麻醉藥物的先例。又仿虎、鹿、熊、猿、鳥等禽獸的動態創作名爲“五禽戲”的體操，教導人們強身健體。後因不服曹操征召被殺，所著醫書已佚。
",
1027,"东汉末年董卓部下的武将，为董卓帐下都督。191年，关东军阀联合讨伐董卓，时任长沙太守的孙坚大破董卓军，华雄在此战中被孙坚一军所杀。
小说《三国演义》中，华雄被描述为身长九尺、虎体狼腰、豹头猿臂的猛将，关西人。华雄在汜水关抵挡十八路诸侯联军的进攻，偷袭了孙坚营寨，大败孙坚军，并斩了祖茂。后来诸侯们先后派出俞涉、潘凤与华雄交战，但二人均被华雄所杀。正当诸侯们手足无措之时，当时名不见经传的关羽自告奋勇出战华雄，并且在曹操为他斟的热酒尚温之时，便斩了华雄得胜归来。华雄被斩，对董卓的将来影响很大。此段故事也就是著名的“温酒斩华雄”的典故。
","東漢末年董卓部下的武將，爲董卓帳下都督。191年，關東軍閥聯合討伐董卓，時任長沙太守的孫堅大破董卓軍，華雄在此戰中被孫堅一軍所殺。
小說《三國演義》中，華雄被描述爲身長九尺、虎體狼腰、豹頭猿臂的猛將，關西人。華雄在汜水關抵擋十八路諸侯聯軍的進攻，偷襲了孫堅營寨，大敗孫堅軍，並斬了祖茂。後來諸侯們先後派出俞涉、潘鳳與華雄交戰，但二人均被華雄所殺。正當諸侯們手足無措之時，當時名不見經傳的關羽自告奮勇出戰華雄，並且在曹操爲他斟的熱酒尚溫之時，便斬了華雄得勝歸來。華雄被斬，對董卓的將來影響很大。此段故事也就是著名的“溫酒斬華雄”的典故。
",
1028,"字公覆，零陵泉陵人。东汉末年名将，历仕孙坚、孙策、孙权三任。以演义中的“苦肉计”而闻名于世。早年为郡吏，后追随孙坚走南闯北。孙权即位，诸山越不宾，黄盖活跃在镇抚山越的一线，前后九县，所在悉平，迁丹杨都尉。黄盖为人严肃，善于训练士卒，每每征讨，他的部队皆勇猛善战。
208年赤壁之战时，黄盖前往曹营诈降，并趁机以火攻大破曹操的军队，是赤壁之战主要功臣之一，以功拜武锋中郎将，不久武陵蛮夷反，黄盖以五百人，大破诸贼，寇乱尽平。后又平讨长沙益阳县山贼，加偏将军。官至偏将军、武陵太守。有一子黄柄。","字公覆，零陵泉陵人。東漢末年名將，曆仕孫堅、孫策、孫權三任。以演義中的“苦肉計”而聞名于世。早年爲郡吏，後追隨孫堅走南闖北。孫權即位，諸山越不賓，黃蓋活躍在鎮撫山越的一線，前後九縣，所在悉平，遷丹楊都尉。黃蓋爲人嚴肅，善于訓練士卒，每每征討，他的部隊皆勇猛善戰。
208年赤壁之戰時，黃蓋前往曹營詐降，並趁機以火攻大破曹操的軍隊，是赤壁之戰主要功臣之一，以功拜武鋒中郎將，不久武陵蠻夷反，黃蓋以五百人，大破諸賊，寇亂盡平。後又平討長沙益陽縣山賊，加偏將軍。官至偏將軍、武陵太守。有一子黃柄。",
1029,三国时荆州沔南白水人，沔阳名士黄承彦之女，诸葛亮之妻，诸葛瞻之母。学识丰富，诸葛亮死后不久也跟着死去。,三國時荊州沔南白水人，沔陽名士黃承彥之女，諸葛亮之妻，諸葛瞻之母。學識豐富，諸葛亮死後不久也跟著死去。,
1030,"字汉升，南阳人。东汉末年名将。蜀汉五虎上将之一。初为刘表帐下中郎将，与刘表侄子刘磐共守长沙。刘琮降曹后为曹操任为代理裨将军，统属于长沙太守韩玄，刘备平荆南四郡后改为刘备属下。跟随刘备入蜀，作战时常先登陷阵，勇毅冠三军。益州平后拜为讨虏将军。汉中之战时，黄忠军于定军山斩夏侯渊，迁征西将军。刘备自封为为汉中王后升为后将军，和关羽等齐位，赐爵关内侯。
220年卒，追谥刚侯。后世多以勇猛的老将形象出现于各类文学艺术作品中。而黄忠的名字在中国也逐渐成为了老当益壮的代名词。","字漢升，南陽人。東漢末年名將。蜀漢五虎上將之一。初爲劉表帳下中郎將，與劉表侄子劉磐共守長沙。劉琮降曹後爲曹操任爲代理裨將軍，統屬于長沙太守韓玄，劉備平荊南四郡後改爲劉備屬下。跟隨劉備入蜀，作戰時常先登陷陣，勇毅冠三軍。益州平後拜爲討虜將軍。漢中之戰時，黃忠軍于定軍山斬夏侯淵，遷征西將軍。劉備自封爲爲漢中王後升爲後將軍，和關羽等齊位，賜爵關內侯。
220年卒，追谥剛侯。後世多以勇猛的老將形象出現于各類文學藝術作品中。而黃忠的名字在中國也逐漸成爲了老當益壯的代名詞。",
1031,"字文和，凉州姑臧人。三国时期著名谋士、军事战略家，曹魏开国功臣。《唐会要》尊其为魏晋八君子之首。贾诩精通兵法，着有《钞孙子兵法》一卷，并为《吴起兵法》校注。先从董卓，又为张绣的谋士，后降曹操。
曹操在官渡战袁绍、潼关破西凉马超、韩遂，都用他的奇计。贾诩暗助了曹丕。曹丕日后称帝封其官为太尉、魏寿亭侯。贾诩认为自己非曹操旧臣，怕被猜嫌，采取自保策略，闭门自守，不与人私下交往，子女婚嫁也不攀结权贵。死时七十七岁。","字文和，涼州姑臧人。三國時期著名謀士、軍事戰略家，曹魏開國功臣。《唐會要》尊其爲魏晉八君子之首。賈诩精通兵法，著有《鈔孫子兵法》一卷，並爲《吳起兵法》校注。
先從董卓，又爲張繡的謀士，後降曹操。曹操在官渡戰袁紹、潼關破西涼馬超、韓遂，都用他的奇計。賈诩暗助了曹丕。曹丕日後稱帝封其官爲太尉、魏壽亭侯。賈诩認爲自己非曹操舊臣，怕被猜嫌，采取自保策略，閉門自守，不與人私下交往，子女婚嫁也不攀結權貴。死時七十七歲。",
1032,"字伯约，天水冀县人。蜀汉名将。因父亲姜冏战死，姜维被郡里任命为中郎。后投降蜀汉，得诸葛亮提拔成为一代名将。
诸葛亮去世后姜维在蜀汉开始崭露头角，费祎死后姜维开始独掌军权，继续率领蜀汉军队北伐曹魏，与名将邓艾、陈泰、郭淮等多次交手，后因蜀中大臣也多反对姜维北伐，只得在沓中屯田避祸，后司马昭五道伐蜀，姜维据守剑阁，阻挡住钟会大军，被邓艾从阴平偷袭成都，刘禅投降。
后姜维打算利用钟会反叛曹魏以实现恢复汉室的愿望，但最终钟会反叛失败，姜维与钟会一同被魏军所杀。","字伯約，天水冀縣人。蜀漢名將。因父親姜冏戰死，姜維被郡裏任命爲中郎。後投降蜀漢，得諸葛亮提拔成爲一代名將。
諸葛亮去世後姜維在蜀漢開始嶄露頭角，費祎死後姜維開始獨掌軍權，繼續率領蜀漢軍隊北伐曹魏，與名將鄧艾、陳泰、郭淮等多次交手，後因蜀中大臣也多反對姜維北伐，只得在沓中屯田避禍，後司馬昭五道伐蜀，姜維據守劍閣，阻擋住鍾會大軍，被鄧艾從陰平偷襲成都，劉禅投降。
後姜維打算利用鍾會反叛曹魏以實現恢複漢室的願望，但最終鍾會反叛失敗，姜維與鍾會一同被魏軍所殺。",
1033,"字玄德，东汉末年幽州涿郡涿县人，中山靖王刘胜后代，期蜀汉开国皇帝、政治家，史家又称他为先主。
少年时拜卢植为师，而后参与镇压黄巾起义。先后率军救援北海相孔融、徐州牧陶谦等。陶谦病亡后，将徐州让与刘备。早年颠沛流离，备尝艰辛，投靠过多个诸侯。赤壁之战时，与孙权联盟击败曹操，趁势夺取荆州。而后进取益州。
221年，在成都称帝，国号汉，史称蜀或蜀汉。223年，刘备病逝于白帝城，终年六十三岁，谥号昭烈皇帝，庙号烈祖。《三国志》评刘备的机权干略不及曹操，但其弘毅宽厚，知人待士，百折不挠，终成帝业。","字玄德，東漢末年幽州涿郡涿縣人，中山靖王劉勝後代，期蜀漢開國皇帝、政治家，史家又稱他爲先主。
少年時拜盧植爲師，而後參與鎮壓黃巾起義。先後率軍救援北海相孔融、徐州牧陶謙等。陶謙病亡後，將徐州讓與劉備。早年顛沛流離，備嘗艱辛，投靠過多個諸侯。赤壁之戰時，與孫權聯盟擊敗曹操，趁勢奪取荊州。而後進取益州。
221年，在成都稱帝，國號漢，史稱蜀或蜀漢。223年，劉備病逝于白帝城，終年六十三歲，谥號昭烈皇帝，廟號烈祖。《三國志》評劉備的機權幹略不及曹操，但其弘毅寬厚，知人待士，百折不撓，終成帝業。",
1034,"字子敬，临淮郡东城县人，中国东汉末年杰出战略家、外交家。家富于财，喜好周济穷人结交朋友。
建安二年，鲁肃率领部属投奔孙权，为其提出鼎足江东的战略规划。建安十三年，曹操率军南下。鲁肃与周瑜力排众议，坚决主战，与刘备结盟，大败曹军于赤壁，从此，奠定了三国鼎立格局。赤壁大战后，建安二十二年，鲁肃去世，终年46岁。","字子敬，臨淮郡東城縣人，中國東漢末年傑出戰略家、外交家。家富于財，喜好周濟窮人結交朋友。
建安二年，魯肅率領部屬投奔孫權，爲其提出鼎足江東的戰略規劃。建安十三年，曹操率軍南下。魯肅與周瑜力排衆議，堅決主戰，與劉備結盟，大敗曹軍于赤壁，從此，奠定了三國鼎立格局。赤壁大戰後，建安二十二年，魯肅去世，終年46歲。",
1035,"本名陆议，字伯言，吴郡吴县人。三国时期吴国政治家、军事家。
203年，入孙权幕府。219年，参与袭取荆州。222年，官拜大都督，在夷陵火烧连营击败刘备，一战成名。228年取得石亭之战的胜利。229年，孙权称帝后，卷入立嗣之争，含恨病终。一生出将入相，被赞为“社稷之臣”，终年六十三岁，追谥昭侯。","本名陸議，字伯言，吳郡吳縣人。三國時期吳國政治家、軍事家。
203年，入孫權幕府。219年，參與襲取荊州。222年，官拜大都督，在夷陵火燒連營擊敗劉備，一戰成名。228年取得石亭之戰的勝利。229年，孫權稱帝後，卷入立嗣之爭，含恨病終。一生出將入相，被贊爲“社稷之臣”，終年六十三歲，追谥昭侯。",
1036,字奉先，五原郡九原县人，东汉末年名将，汉末群雄之一，生性反复无常，履次背叛他人，最后因部下背叛而死。 先后为丁原、董卓的部将，后与司徒王允合力诛杀董卓，旋即被董卓旧部李傕等击败，依附袁绍。与曹操争夺兖州失败后，吕布袭取徐州，割据一方。199年吕布于下邳被曹操击败并处死。,字奉先，五原郡九原縣人，東漢末年名將，漢末群雄之一，生性反複無常，履次背叛他人，最後因部下背叛而死。 先後爲丁原、董卓的部將，後與司徒王允合力誅殺董卓，旋即被董卓舊部李傕等擊敗，依附袁紹。與曹操爭奪兖州失敗後，呂布襲取徐州，割據一方。199年呂布于下邳被曹操擊敗並處死。,
1037,吕布之女，本来要嫁给袁术之子，以便同盟对抗曹操，但因被曹操围城而失败。,呂布之女，本來要嫁給袁術之子，以便同盟對抗曹操，但因被曹操圍城而失敗。,
1038,"字子明，东汉末年名将，汝南富陂人。以白衣渡江奇袭荆州的典故闻名于世。同时吕蒙发愤勤学的事迹，成为了中国古代将领勤补拙、笃志力学的代表，与其有关的成语有“士别三日”、“刮目相待”、“吴下阿蒙”等。
吕蒙少年时依附姊夫邓当，随孙策为将。以胆气称。孙权统事后，渐受重用，从破黄祖作先登，封横野中郎将。从围曹仁于南郡，破朱光于皖城，累功拜庐江太守。后进占荆南三郡，计擒郝普，在逍遥津之战中奋勇抵抗张辽军追袭，并于濡须数御魏军，以功除左护军、虎威将军。
鲁肃去世后，代守陆口，设计袭取荆州，击败蜀汉名将关羽，使东吴国土面积大增，拜南郡太守，封孱陵侯，受勋殊隆。不久病世，享年四十二岁。","字子明，东汉末年名将，汝南富陂人。以白衣渡江奇袭荆州的典故闻名于世。同时吕蒙发愤勤学的事迹，成为了中国古代将领勤补拙、笃志力学的代表，与其有关的成语有“士别三日”、“刮目相待”、“吴下阿蒙”等。
吕蒙少年时依附姊夫邓当，随孙策为将。以胆气称。孙权统事后，渐受重用，从破黄祖作先登，封横野中郎将。从围曹仁于南郡，破朱光于皖城，累功拜庐江太守。后进占荆南三郡，计擒郝普，在逍遥津之战中奋勇抵抗张辽军追袭，并于濡须数御魏军，以功除左护军、虎威将军。
鲁肃去世后，代守陆口，设计袭取荆州，击败蜀汉名将关羽，使东吴国土面积大增，拜南郡太守，封孱陵侯，受勋殊隆。不久病世，享年四十二岁。",
1039,"字孟起，司隶部扶风郡茂陵人，东汉卫尉马腾之子，汉末群雄之一，蜀汉开国名将。著名的五虎上将之一。
《三国演义》及民间文化中称“三国英雄算马超”，因俊秀容貌与狮盔银铠的非凡装束而得名“锦马超”，有“不减吕布之勇”。早年曾指挥平阳之战大破并州刺史高干和南匈奴呼厨泉的联军。后马腾入京，马超拜将封侯割据雍州，和曹操争夺关中失败后，退守凉州。后依附张鲁，又转投刘备。带头上表刘协扶刘备称王，又辅佐刘备称帝。223年1月，终年47岁，追谥威侯。
","字孟起，司隸部扶風郡茂陵人，東漢衛尉馬騰之子，漢末群雄之一，蜀漢開國名將。著名的五虎上將之一。
《三國演義》及民間文化中稱“三國英雄算馬超”，因俊秀容貌與獅盔銀铠的非凡裝束而得名“錦馬超”，有“不減呂布之勇”。早年曾指揮平陽之戰大破並州刺史高幹和南匈奴呼廚泉的聯軍。後馬騰入京，馬超拜將封侯割據雍州，和曹操爭奪關中失敗後，退守涼州。後依附張魯，又轉投劉備。帶頭上表劉協扶劉備稱王，又輔佐劉備稱帝。223年1月，終年47歲，追谥威侯。
",
1040,"字季常，因眉毛中有白毛，人称白眉马良，襄阳宜城人，马谡之兄，三国时期蜀汉官员。马良兄弟五人都有才华名气，而马良又在五人中最为出色，因此有“马氏五常，白眉最良”的赞誉。
209年，刘备担任荆州牧，征召马良为州从事。马良与诸葛亮关系友善，曾奉命出使东吴，受到孙权恭敬的接待。221年，刘备称帝，建立蜀汉政权，任命马良为侍中，222年，刘备东征东吴，派马良招纳五溪少数民族。同年，刘备在夷陵之战中兵败，马良也遇害身亡。","字季常，因眉毛中有白毛，人稱白眉馬良，襄陽宜城人，馬谡之兄，三國時期蜀漢官員。馬良兄弟五人都有才華名氣，而馬良又在五人中最爲出色，因此有“馬氏五常，白眉最良”的贊譽。
209年，劉備擔任荊州牧，征召馬良爲州從事。馬良與諸葛亮關系友善，曾奉命出使東吳，受到孫權恭敬的接待。221年，劉備稱帝，建立蜀漢政權，任命馬良爲侍中，222年，劉備東征東吳，派馬良招納五溪少數民族。同年，劉備在夷陵之戰中兵敗，馬良也遇害身亡。",
1041,"字寿成。扶风茂陵人，东汉末年割据凉州一带的军阀，伏波将军马援的后代，马超、马休、马铁之父，身长八尺馀，身体洪大，面鼻雄异，性格贤良忠厚，受众人尊敬。
汉灵帝末年，被州郡署为军从事，掌领部众。凉州刺史耿鄙为叛军所杀后，与边章、韩遂等在凉州共同起事。192年，与韩遂共同率众前往长安，被任命为征西将军。194年，企图连结种邵等诛杀权臣李傕、郭汜，但为其所败，只得回到凉州。其后与韩遂结为异姓兄弟。202年，转为征南将军，开府。后与韩遂不和，互相攻击。208年，被徵为前将军，假节，封槐里侯。之后，马腾听从张既的建议，入朝担任卫尉。211年，其子马超起兵抗拒曹操。次年，马腾与其二子皆为曹操所杀，夷灭三族。","字壽成。扶風茂陵人，東漢末年割據涼州一帶的軍閥，伏波將軍馬援的後代，馬超、馬休、馬鐵之父，身長八尺馀，身體洪大，面鼻雄異，性格賢良忠厚，受衆人尊敬。
漢靈帝末年，被州郡署爲軍從事，掌領部衆。涼州刺史耿鄙爲叛軍所殺後，與邊章、韓遂等在涼州共同起事。192年，與韓遂共同率衆前往長安，被任命爲征西將軍。194年，企圖連結種邵等誅殺權臣李傕、郭汜，但爲其所敗，只得回到涼州。其後與韓遂結爲異姓兄弟。202年，轉爲征南將軍，開府。後與韓遂不和，互相攻擊。208年，被徵爲前將軍，假節，封槐裏侯。之後，馬騰聽從張既的建議，入朝擔任衛尉。211年，其子馬超起兵抗拒曹操。次年，馬騰與其二子皆爲曹操所殺，夷滅三族。",
1042,是周大荒的小说——《反三国演义》中的虚构人物。在小说里她是马腾之女，马超之妹，赵云之妻。现在已经被广泛的用于各种文学和游戏作品中。,是周大荒的小說——《反三國演義》中的虛構人物。在小說裏她是馬騰之女，馬超之妹，趙雲之妻。現在已經被廣泛的用于各種文學和遊戲作品中。,
1043,孟获是中国三国时期南中地区少数民族的首领，史载：”先主崩，获随雍闿反。蜀相诸葛亮亲征，百战百捷。闻得有孟获，向为本地的夷、汉所服，与之战，擒之于盘东。亮纳参军马谡策，赦孟获以服南方。后南中平，获随亮归成都，任御史中丞。终亮之世，南方不敢复反。”,孟獲是中國三國時期南中地區少數民族的首領，史載：”先主崩，獲隨雍闿反。蜀相諸葛亮親征，百戰百捷。聞得有孟獲，向爲本地的夷、漢所服，與之戰，擒之于盤東。亮納參軍馬谡策，赦孟獲以服南方。後南中平，獲隨亮歸成都，任禦史中丞。終亮之世，南方不敢複反。”,
1044,字正平，平原郡般县人，东汉末年名士。性格高傲，目中无人，和孔融交好。孔融向曹操推荐祢衡，但是祢衡称病不肯去，曹操封他为鼓手，想要羞辱祢衡，却反而被祢衡裸身击鼓而羞辱。后来祢衡骂曹操，曹操就把他遣送给刘表，祢衡对刘表也很轻慢，刘表又把他送去给江夏太守黄祖，最后因为和黄祖言语冲突而被杀，时年二十六岁。黄祖对杀害祢衡一事感到十分后悔，便将其加以厚葬。,字正平，平原郡般縣人，東漢末年名士。性格高傲，目中無人，和孔融交好。孔融向曹操推薦祢衡，但是祢衡稱病不肯去，曹操封他爲鼓手，想要羞辱祢衡，卻反而被祢衡裸身擊鼓而羞辱。後來祢衡罵曹操，曹操就把他遣送給劉表，祢衡對劉表也很輕慢，劉表又把他送去給江夏太守黃祖，最後因爲和黃祖言語衝突而被殺，時年二十六歲。黃祖對殺害祢衡一事感到十分後悔，便將其加以厚葬。,
1045,东海郡朐县人，三国时蜀汉大臣糜竺的妹妹。刘备之妻。196年，吕布袭击下邳，刘备妻子被俘，转驻广陵、海西，军队也因为粮草不济陷入了困境，这时糜竺大力资助刘备，并将妹妹嫁给刘备鼓舞刘备，刘备军得以重振。但此后糜夫人便下落不明。,東海郡朐縣人，三國時蜀漢大臣糜竺的妹妹。劉備之妻。196年，呂布襲擊下邳，劉備妻子被俘，轉駐廣陵、海西，軍隊也因爲糧草不濟陷入了困境，這時糜竺大力資助劉備，並將妹妹嫁給劉備鼓舞劉備，劉備軍得以重振。但此後糜夫人便下落不明。,
1046,字子仲。东海朐县人。原为徐州富商，陶谦辟为别驾从事。陶死后，辅佐刘备。在刘备潦倒之时给予很大的帮助。刘备入主益州后，拜麋竺为安汉将军。关羽走麦城身亡，糜芳投降，麋竺面缚请罪，不久后即因惭恨病死。,字子仲。東海朐縣人。原爲徐州富商，陶謙辟爲別駕從事。陶死後，輔佐劉備。在劉備潦倒之時給予很大的幫助。劉備入主益州後，拜麋竺爲安漢將軍。關羽走麥城身亡，糜芳投降，麋竺面縛請罪，不久後即因慚恨病死。,
1047,"是《三国演义》中的虚拟人物。他将《太平要术》赠予了张角，并对张角说：“汝得之，当代天宣化，普救世人；若萌异心，必获恶报。""原型是道教典籍中对庄子的封号。","是《三國演義》中的虛擬人物。他將《太平要術》贈予了張角，並對張角說：“汝得之，當代天宣化，普救世人；若萌異心，必獲惡報。""原型是道教典籍中對莊子的封號。",
1048,"字令明，南安郡狟道县人，初投马腾，在平定羌乱有功。建安年，随马超征战平阳，抵御袁将郭援、高干，阵斩郭援。每次出征常冲锋陷阵，勇冠三军。
后随张鲁归降于曹操麾下。219年，庞德协助曹仁抵御关羽。常骑白马驰骋奔杀，曾一箭射中关羽前额。后被关羽用水计擒拿，关羽敬其刚毅威武，劝降未果，庞德怒目不跪，怒斥关羽，最终求死被斩。","字令明，南安郡狟道縣人，初投馬騰，在平定羌亂有功。建安年，隨馬超征戰平陽，抵禦袁將郭援、高幹，陣斬郭援。每次出征常衝鋒陷陣，勇冠三軍。
後隨張魯歸降于曹操麾下。219年，龐德協助曹仁抵禦關羽。常騎白馬馳騁奔殺，曾一箭射中關羽前額。後被關羽用水計擒拿，關羽敬其剛毅威武，勸降未果，龐德怒目不跪，怒斥關羽，最終求死被斬。",
1049,字士元，号凤雏，汉时荆州襄阳人。东汉末年刘备帐下重要谋士，人称凤雏，诸葛亮同拜为军师中郎将。与刘备一同入川，于刘备与刘璋决裂之际，献上上中下三条计策，刘备用其中计。进围雒县时，庞统率众攻城，不幸中流矢而亡，年仅三十六岁，追赐统为关内侯，谥曰靖侯。,字士元，號鳳雛，漢時荊州襄陽人。東漢末年劉備帳下重要謀士，人稱鳳雛，諸葛亮同拜爲軍師中郎將。與劉備一同入川，于劉備與劉璋決裂之際，獻上上中下三條計策，劉備用其中計。進圍雒縣時，龐統率衆攻城，不幸中流矢而亡，年僅三十六歲，追賜統爲關內侯，谥曰靖侯。,
1050,武陵蛮王，蜀章武初，刘备亲自领兵攻孙权，以金锦爵赏诱沙摩柯助战，斩杀了抱病上阵的甘宁。二年，吴大都督陆逊以火攻破刘备，率诸军齐击，沙摩柯败死。,武陵蠻王，蜀章武初，劉備親自領兵攻孫權，以金錦爵賞誘沙摩柯助戰，斬殺了抱病上陣的甘甯。二年，吳大都督陸遜以火攻破劉備，率諸軍齊擊，沙摩柯敗死。,
1051,字德操，颍川阳翟人。东汉末年隐士，精通奇门、兵法、经学。别名“水镜先生”。曾向刘备推荐了卧龙凤雏等人。,字德操，颍川陽翟人。東漢末年隱士，精通奇門、兵法、經學。別名“水鏡先生”。曾向劉備推薦了臥龍鳳雛等人。,
1052,"字仲达，河内郡温县孝敬里人。三国时期魏国杰出的政治家、军事家、战略家，西晋王朝的奠基人。
曾任职过曹魏的大都督、大将军、太尉、太傅。是辅佐了魏国四代的托孤辅政之重臣，后期成为掌控魏国朝政的权臣。善谋奇策，多次征伐有功，其中最显着的功绩是两次率大军成功抵御诸葛亮北伐和远征平定辽东。对屯田、水利等农耕经济发展有重要贡献。
73岁去世，辞郡公和殊礼，葬于首阳山。谥号宣文；其次子司马昭封晋王后，追封司马懿为宣王；司马炎称帝后，追尊司马懿为宣皇帝。","字仲達，河內郡溫縣孝敬裏人。三國時期魏國傑出的政治家、軍事家、戰略家，西晉王朝的奠基人。
曾任職過曹魏的大都督、大將軍、太尉、太傅。是輔佐了魏國四代的托孤輔政之重臣，後期成爲掌控魏國朝政的權臣。善謀奇策，多次征伐有功，其中最顯著的功績是兩次率大軍成功抵禦諸葛亮北伐和遠征平定遼東。對屯田、水利等農耕經濟發展有重要貢獻。
73歲去世，辭郡公和殊禮，葬于首陽山。谥號宣文；其次子司馬昭封晉王後，追封司馬懿爲宣王；司馬炎稱帝後，追尊司馬懿爲宣皇帝。",
1053,"字伯符，吴郡富春人。孙坚长子，孙权长兄。东汉末年割据江东一带的军阀，汉末群雄之一，三国时期孙吴的奠基者之一。为继承父亲孙坚的遗业而屈事袁术，后脱离袁术，统一江东。在一次狩猎中为刺客所伤，不久后身亡，年仅二十六岁。其弟孙权接掌孙策势力，并于称帝后，追谥孙策为长沙桓王。
",字伯符，吳郡富春人。孫堅長子，孫權長兄。東漢末年割據江東一帶的軍閥，漢末群雄之一，三國時期孫吳的奠基者之一。爲繼承父親孫堅的遺業而屈事袁術，後脫離袁術，統一江東。在一次狩獵中爲刺客所傷，不久後身亡，年僅二十六歲。其弟孫權接掌孫策勢力，並于稱帝後，追谥孫策爲長沙桓王。,
1054,"字文台，吴郡富春人，春秋时期军事家孙武的后裔。东汉末年将领、军阀，三国中吴国的奠基人。孙武的后代，人称江东猛虎，县吏出身，因勇敢又有谋略被官府赏识，提拔为军官。
孙坚参军后多次成功平定汉末叛乱，又随朱儁征讨黄巾，立下许多功劳，被东汉朝廷封为长沙太守、乌程侯。后董卓乱政，孙坚联合袁术，参加了诸侯联军，征讨董卓，表现最为积极，数次击败董卓的部队；董卓迁都长安，孙坚进兵洛阳，于洛阳城发现玉玺，后修复被董卓破坏的皇陵后返回鲁阳。不久，孙坚受袁术派遣与刘表交战，击败了刘表部下黄祖，却在一次追击中被黄祖的士兵射杀。孙坚的儿子孙策、孙权后来创建了东吴政权。","字文台，吳郡富春人，春秋時期軍事家孫武的後裔。東漢末年將領、軍閥，三國中吳國的奠基人。孫武的後代，人稱江東猛虎，縣吏出身，因勇敢又有謀略被官府賞識，提拔爲軍官。
孫堅參軍後多次成功平定漢末叛亂，又隨朱儁征討黃巾，立下許多功勞，被東漢朝廷封爲長沙太守、烏程侯。後董卓亂政，孫堅聯合袁術，參加了諸侯聯軍，征討董卓，表現最爲積極，數次擊敗董卓的部隊；董卓遷都長安，孫堅進兵洛陽，于洛陽城發現玉玺，後修複被董卓破壞的皇陵後返回魯陽。不久，孫堅受袁術派遣與劉表交戰，擊敗了劉表部下黃祖，卻在一次追擊中被黃祖的士兵射殺。孫堅的兒子孫策、孫權後來創建了東吳政權。",
1055,"字仲谋，吴郡富春人。三国时代东吴的建立者。谥号大皇帝，庙号太祖，葬于蒋陵。是三国时代统治者中最长寿的。
200年孙策遇刺身亡，孙权继之掌事，成为一方诸侯。208年，与刘备建立孙刘联盟，赤壁之战中击败曹操，奠定三国鼎立的基础。219年，派吕蒙成功袭取荆州，开辟疆土。222年，被曹丕册封为吴王，建立吴国。229年，正式称帝。称帝后，设置农官，实行屯田，设置郡县，剿抚山越，促进了江南经济的发展。又多次派人出海。晚年在继承人问题上反复无常，引致群下党争，朝局不稳。252年病逝，享年七十一岁。","字仲謀，吳郡富春人。三國時代東吳的建立者。谥號大皇帝，廟號太祖，葬于蔣陵。是三國時代統治者中最長壽的。
200年孫策遇刺身亡，孫權繼之掌事，成爲一方諸侯。208年，與劉備建立孫劉聯盟，赤壁之戰中擊敗曹操，奠定三國鼎立的基礎。219年，派呂蒙成功襲取荊州，開辟疆土。222年，被曹丕冊封爲吳王，建立吳國。229年，正式稱帝。稱帝後，設置農官，實行屯田，設置郡縣，剿撫山越，促進了江南經濟的發展。又多次派人出海。晚年在繼承人問題上反複無常，引致群下黨爭，朝局不穩。252年病逝，享年七十一歲。",
1056,吴郡富春人，东汉末年讨虏将军孙权之妹，左将军刘备之妻。《三国志》称之为先主孙夫人。孙氏嫁给刘备三年，史料并无生育记载。,吳郡富春人，東漢末年討虜將軍孫權之妹，左將軍劉備之妻。《三國志》稱之爲先主孫夫人。孫氏嫁給劉備三年，史料並無生育記載。,
